mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_min_samples_split,param_min_samples_leaf,param_max_features,param_max_depth,param_bootstrap,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.9986667156219482,0.023306395864941355,0.13181591033935547,0.02746872566340619,100,5,2,log2,,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': None, 'bootstrap': True}",0.5283018867924528,0.6666666666666666,0.5,0.49056603773584906,0.49122807017543857,0.5353525322740815,0.06707564875525125,8,0.9429657794676806,0.9348659003831418,0.9429657794676806,0.9548872180451128,0.9398496240601504,0.9431068602847532,0.006593021226703103
1.261627769470215,0.19692470742884408,0.08185877799987792,0.004867665131109837,300,2,1,sqrt,,True,"{'n_estimators': 300, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.5,0.6545454545454545,0.5483870967741935,0.5,0.5,0.5405865102639297,0.059982138304458615,4,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.2992728710174561,0.38434007162174044,0.1471245288848877,0.09082848672641329,300,5,2,log2,5,True,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}",0.23809523809523808,0.425531914893617,0.4,0.36363636363636365,0.35294117647058826,0.3560409386191615,0.06440478575340496,30,0.592964824120603,0.5970149253731343,0.6350710900473934,0.676056338028169,0.6912442396313364,0.6384702834401272,0.03999662487668578
1.7238463401794433,0.22866691369890804,0.18525962829589843,0.03540118342032887,300,5,2,log2,15,True,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 2, 'max_features': 'log2', 'max_depth': 15, 'bootstrap': True}",0.5098039215686274,0.5925925925925926,0.4745762711864407,0.4489795918367347,0.4642857142857143,0.498047618294022,0.05133303877528713,15,0.9548872180451128,0.9389312977099237,0.9429657794676806,0.9429657794676806,0.9591078066914498,0.9477715762763695,0.0077908198396580385
1.3706703662872315,0.3697708599610909,0.1861722946166992,0.05164480232693404,200,10,2,sqrt,10,False,"{'n_estimators': 200, 'min_samples_split': 10, 'min_samples_leaf': 2, 'max_features': 'sqrt', 'max_depth': 10, 'bootstrap': False}",0.5454545454545454,0.5660377358490566,0.5,0.4528301886792453,0.4482758620689655,0.5025196664103625,0.04753047908278611,14,0.9626865671641791,0.9509433962264151,0.946969696969697,0.9548872180451128,0.9516728624535316,0.9534319481717872,0.005269036857841332
1.8996278762817382,0.18754146734119267,0.1269289016723633,0.011973706772899646,200,5,4,log2,5,True,"{'n_estimators': 200, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}",0.2727272727272727,0.46808510638297873,0.43636363636363634,0.4,0.32,0.3794352030947775,0.07272095778995365,25,0.5771144278606966,0.5538461538461539,0.6285714285714286,0.624390243902439,0.6944444444444444,0.6156733397250325,0.04849045813540476
4.274466896057129,0.4360834848521969,0.33765325546264646,0.025266864115175373,500,2,4,log2,5,True,"{'n_estimators': 500, 'min_samples_split': 2, 'min_samples_leaf': 4, 'max_features': 'log2', 'max_depth': 5, 'bootstrap': True}",0.3111111111111111,0.425531914893617,0.37735849056603776,0.43478260869565216,0.36,0.38175682505328357,0.0451918441811721,24,0.5628140703517588,0.5463917525773195,0.6285714285714286,0.6280193236714976,0.6883720930232559,0.6108337336390521,0.05114845938570781
2.17685489654541,0.5739675664531669,0.3488819122314453,0.293389138498661,200,2,1,sqrt,15,True,"{'n_estimators': 200, 'min_samples_split': 2, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': 15, 'bootstrap': True}",0.5,0.6545454545454545,0.5483870967741935,0.49056603773584906,0.5,0.5386997178110995,0.06136166149250544,6,1.0,1.0,1.0,1.0,1.0,1.0,0.0
1.140999984741211,0.23446918006150985,0.1321725845336914,0.07926527618669768,100,5,1,sqrt,,True,"{'n_estimators': 100, 'min_samples_split': 5, 'min_samples_leaf': 1, 'max_features': 'sqrt', 'max_depth': None, 'bootstrap': True}",0.5454545454545454,0.6896551724137931,0.4745762711864407,0.49056603773584906,0.4482758620689655,0.5297055777719187,0.08606258821051442,10,0.9703703703703703,0.9779411764705882,0.9626865671641791,0.966542750929368,0.9928057553956835,0.9740693240660379,0.010639020785056248
1.9807947635650636,0.2104486734240885,0.206116247177124,0.07330888166594869,300,5,4,sqrt,5,False,"{'n_estimators': 300, 'min_samples_split': 5, 'min_samples_leaf': 4, 'max_features': 'sqrt', 'max_depth': 5, 'bootstrap': False}",0.23255813953488372,0.44,0.42857142857142855,0.391304347826087,0.4230769230769231,0.38310216780186446,0.07698516512559792,23,0.5757575757575758,0.6376811594202898,0.7256637168141593,0.7410714285714286,0.7410714285714286,0.6842490618269764,0.0665006894049905
